grade,average,lowest
F,0,0
D-,61.5,60
D,65,63
D+,68.5,68
C-,71.5,70
C,75,73
C+,78.5,77
B-,81.5,80
B,85,83
B+,88.5,87
A-,91.5,90
A,95,93
A+,98.5,101
